id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
99f5a18e-ced8-425a-a421-a9b85264c0dc,starchlike.sexy,premium,,,46,1,10,,,
de1f0dc9-4535-4275-8483-3f79ca686213,ninetysix.sexy,premium,,,52,5,10,,,
728db82f-1028-4146-a75e-81e0c7e46c34,accessory.sexy,available,2999,2999,84,10,9,name.com,,
321153c6-2002-4067-aec4-2c3f3d698188,staring.sexy,available,2999,2999,64,7,7,name.com,,
d3768315-fcfb-481e-9fd0-a3f7b1cd57a5,moneyeconomy.sexy,premium,,,78,1,13,,,
32a568ab-502c-4dfd-8390-4124dbc777a3,generalpurpose.sexy,premium,,,62,3,15,,,
828f7ddb-0dae-4b5f-8836-f98d9432197b,GermanReich.sexy,premium,,,52,1,12,,,
fc7d621f-5f08-49f6-9670-c800209454ed,aroid.sexy,premium,,,54,3,5,,,
38d5a831-6fe6-4458-83a9-04d884e3b8ff,comeby.sexy,premium,,,82,3,7,,,
b406b083-ed3b-40fa-8c59-f2b981030f50,wrongcrowd.sexy,premium,,,58,2,11,,,
d9c0fe5b-0b4a-4816-b6d3-5475356e087e,strongly.sexy,premium,,,64,4,8,,,
ea983992-5741-4274-851a-3ae800a6c649,anarchical.sexy,premium,,,40,1,10,,,
cb1c41b6-e18a-4e8a-8a6b-b08987979a63,insignificant.sexy,premium,,,56,5,13,,,
02639298-c154-4dec-a1e4-3a84a7940092,conceal.sexy,premium,,,68,7,7,,,
61a4e211-4307-4e2d-a2ce-99a82edd02f2,streetfighter.sexy,premium,,,,5,14,,,
c5d00e02-69e6-4501-915e-9d5ef8680c21,angle.sexy,premium,,,74,20,5,,,
1475b815-bf32-4509-8fa5-039a4a39db15,gag.sexy,premium,,,88,19,3,,,
1ddf80f4-9bf9-4aad-b1d9-00f11e4e9fbd,debased.sexy,premium,,,54,2,7,,,
2b819f65-a682-44df-9631-c02595101061,jupiter.sexy,premium,,,74,37,7,,,
c86b381d-0f28-4eb3-a8f0-a4f71ac10c3c,unending.sexy,premium,,,60,5,8,,,
307e8de2-607c-4c3d-93a0-56526aee8aa7,richmond.sexy,premium,,,66,26,8,,,
02f4c70c-9a21-4c43-988a-d2ae0c139247,bubble.sexy,premium,,,94,35,6,,,
d29fe640-6eef-4e00-8ae1-53498c79dad1,marchon.sexy,available,2999,2999,68,7,8,name.com,,
ec77a1ad-98dc-44a9-a667-45f508942bff,bedhead.sexy,premium,,,68,3,8,,,
10b06e87-51a9-4b56-80f5-2f3538b0d81a,younameit.sexy,premium,,,56,5,11,,,
26121388-ecd7-41f0-acdb-f9ba28be7fc2,reflexively.sexy,premium,,,,1,11,,,
71b2bc3b-3b72-4c2e-87f9-f411792b54af,sweptback.sexy,premium,,,44,1,9,,,
c287b09c-52d8-49f5-8289-2fb6cea99951,dogshot.sexy,premium,,,76,1,8,,,
49575ee6-084c-47ec-ab06-7d4f9c16b652,cerulean.sexy,premium,,,88,15,8,,,
dc92fa0f-602e-4bda-bb17-2f607072a400,yougotthis.sexy,premium,,,,10,12,,,
7c67723f-0496-4af1-821e-759a66b851da,conveyable.sexy,premium,,,44,1,10,,,
ad339f37-49e4-4213-8508-45f9235bc456,plasticsurgeon.sexy,premium,,,76,7,15,,,
ca33c0bb-44ff-4070-bc47-7b51e6982859,mingle.sexy,available,2999,2999,62,20,6,name.com,,
